message,isTarget,type
"fix issue # 1934 , again",0,0
fix generic warning,0,0
green small test,0,0
fix the default capability matcher test,1,1
fix a bunch of spell issue .,0,0
resolve webdriverwait deprecation warning ( # 7526 ),1,1
fix eclipse warning,0,0
fix jettyappserver to pass appservertest,1,1
fix some of the broken test,0,0
fix dev mode detection,1,1
fix the build,0,0
fix # 1866,0,0
make more test more tolerant towards time issue .,1,3
"fix some test , exclude some test",0,0
fix javadocs,0,0
fix htmlunit driver to pass recently add test,1,1
fix lint error,0,0
fix main build,0,0
fix the fail firefox test build,1,1
"fix ' custom ' , ' servlets ' and ' withoutservlets ' load from json",1,1
skip fail test for safari,0,0
fix htmlunitdriver,0,0
fix exist docker functionality,1,1
fix findelement to throw nosuchelementexception instead of,1,1
"fix # 2727 , combine - jettythreads and - jettymaxthreads ( # 2735 )",1,1
fix nasty bug with cooky in the firefox driver,1,1
fix javadoc error,0,0
calculate lastindexofcolumnnames,0,0
fix test case for postgresql ( # 4307 ),1,1
renew import,0,0
fix # 629 .,0,0
fix # 4565 for distinct bug ( # 4597 ),0,0
modify createshardingtablemetadata ( ),0,0
fix # 477 .,0,0
fix test case ( # 5923 ),0,0
fix code inspection ( # 6623 ),0,0
optimize routingunit .,0,0
modify test,0,0
create ownersegment ( # 4503 ),0,0
optimize repositoryresumebreakpointmanager ( # 7412 ),1,3
modify number _,0,0
fix bug for return generate key ( # 7551 ),1,1
modify test,0,0
fix test case,0,0
set columntype,0,0
fix # 521 .,0,0
fix # 79 limit change dependent routing result,1,1
modify test,0,0
fix javadoc ( # 7915 ),0,0
resolve conflict,0,0
fix bug for no param for pstat,1,1
optimize the visitor of ` columnnames ` ( # 4434 ),1,3
move state,0,0
fix # 203 merge batch event,1,1
add shardingorchestrationevent,0,0
fix governanceschemacontextsfixture,0,0
fix bug,0,0
fix bug,0,0
fix some todo tag,0,0
fix javadoc issue,0,0
fix the unit test initialization problem for postgresql .,1,1
fix some bug for test case in mysql ( mysql bug ),0,0
fix the compile error on executortestutil .,1,1
modify test,0,0
modify test,0,0
fix test case,0,0
fix issue for data source can not renew,1,1
fix bug for preparedstatementregistry,1,1
modify assertsimpleshardingdatasource ( ),0,0
fix visit subquery in projection ( # 6639 ),1,1
fix unit test error,0,0
modify test,0,0
fix unit test error,0,0
retry test start,0,0
card pom,0,0
fix bug : can not parse long value,1,1
modify test,0,0
modify name,0,0
fix bug for show like ( # 4249 ),0,0
create shardingautotableruleconfiguration ( # 5939 ),0,0
modify test,0,0
create rdlbackendhandler ( # 6934 ),0,0
modify test,0,0
fix file name .,0,0
fix unit test error,0,0
fix some unit test,0,0
optimize httpserverhandlertest . ( # 7718 ),1,3
add shardinghook .,0,0
optimize mysql ddlstatement visitor ( # 4209 ),1,3
create etcdretryengine,0,0
create shardingautotablealgorithm ( # 5943 ),0,0
fix bug for proxy hung,0,0
modify test,0,0
fix # 522 .,0,0
fix postgresql authentication nullpointerexception ( # 7076 ),1,1
modify bug # 2768,0,0
"fix # 2408 , parsingruleregistry = > parseruleregistry",0,0
fix unit test error,0,0
fix bug by use register ( ),0,0
fix # 525 .,0,0
fix # 489 .,0,0
resolve conflict .,0,0
decouple shardingdatasourcenames and masterslaverule ( # 5408 ),0,0
fix the logic index issue in test case .,1,1
optimize xa transaction logic .,1,3
fix test bug,0,0
resolve conflict,0,0
fix judge incorrectly when use proxy for shadow ( # 5014 ),1,1
fix repositoryresumebreakpointmanagertest bug ( # 7422 ),1,1
modify fillwithqueryassistedcolumn ( ),0,0
fix # 317 .,0,0
fix javadoc bug,0,0
catch unexpected error which can lead to oom,1,1
finish cleaner realm hierarchy separation,0,0
deprecate hashtablecache,1,3
fix hasher ' s help output .,0,0
fix reading order for dexbackedexceptionhandler,1,1
fix a few issue with format 35mi,1,1
fix out register for invoke - polymorphic,1,1
fix bug # 709,0,0
fix some javadoc issue,0,0
