message,isTarget,type
fix javadoc tag,0,0
fix datetimezone to well handle spring dst cutover,1,3
fix javadoc,0,0
fix minor spell error point out by matt benson .,1,1
fix time - zone compiler for namibia,1,1
optimise tointerval,0,0
"fix millisecond parsing , fix basic parser too lenient",1,1
fix test,0,0
fix periodtype caching,0,0
fix javadoc,0,0
pull request # 980,0,0
fix gles10shader texture wrap,0,0
fix some warning,0,0
fix textfield,0,0
"fix leak with preloading , resolve # 2906",1,1
fix depth packing,0,0
fix copy constructor for statictiledmaptile .,1,1
fix some minor selectbox bug .,1,1
fix # 3604 - miss enter after stop exit event,1,1
"fix coincide point case , and clean up a bit",1,1
fix thing up,0,0
fix formatting,0,0
fix javadocs,0,0
fix erroneous javadoc tag .,0,0
fix up change,0,0
fix javadoc,0,0
fix issue # 5134 ( # 5167 ),0,0
do nothing if setactor be call with same actor .,1,2
close # 1017,0,0
"close # 4381 , remember last android sdk location",0,0
temporary fix for cm problem . resolve # 2649,0,0
fix depth test,0,0
fix test,0,0
fix issue 1570,0,0
fix gwt compatibility,0,0
fix createarrow function,0,0
fix nan,0,0
fix existence check .,0,0
fix up some minor thing regard gwt,1,1
fix some collection not respect collections . allocateiterators .,1,1
decide edt crap should not be use for applet .,1,2
close # 1156,0,0
fix error message and white space on # 5925 ( # 6201 ),0,0
fix ogrexmlloader,0,0
do not scale ninepatch pad if not set,1,2
"fix up change , good to merge",0,0
fix the texture packer .,0,0
fix stuff in superkoalio,0,0
up speed fix the problem . fuck you,0,0
fix issue 3422,0,0
close # 2365,0,0
fix wrong buffer clear,0,0
fix freetype font load when use androidzipfile,1,1
resolve # 2502,0,0
fix gles10 ambient,0,0
fix matrix # set and other small change,0,0
fix face,0,0
close # 2848,0,0
fix objloader,0,0
fix glframebuffer,0,0
"fix bug in intfloatmap , intmap , longmap get",1,1
fix npe due to check null parameter,1,1
"fix more stuff , work",0,0
fix stagetoscreencoordinates to match old behavior .,1,3
fix textureunpacker,0,0
fix filehandle # list ( filefilter ),0,0
fix false - positive of vibration support,1,1
fix gwt,0,0
fix arrayreflection emulation .,0,0
fix incorrect order of argument .,1,1
override metric,0,0
fix some camera / viewport project / unproject ( # 5923 ),0,0
fix the bullet test,0,0
fix issue 1461,0,0
fix round trip float .,0,0
fix bufferutils # getbufferaddress to cast to jlong,1,1
fix the button group logic,1,1
fix bug in arraymap emulation,1,1
fix cubemap,0,0
fix some style issue,0,0
fix lifecyclelistener related problem ( # 4011 ),1,1
fix objtest,0,0
fix pixmappacker - generated textureatlas disposal .,1,1
fix import,0,0
try thing - don't want to loose it,1,2
make sure orientation be preserve,1,3
fix datasource stuff,0,0
do not initiliaze boxparser twice,1,2
fix call to cencencryptingtrackimpl constructor,1,3
fix problem after merge,1,1
fix the last comsmetic checkstyle warning,1,1
fix authorization layer test,1,1
fix indentation,0,0
ignore history should be per project tunable,0,0
sanitize path,1,1
fix some issue detect by sonarqube,1,1
fix javadoc should - be - code - not - link,1,1
fix tag when use jdbchistorycache .,1,1
fix so scala stateless multi - line comment be in comment _ class,0,0
fix pmd warning,0,0
fix conversion accidentally miss,0,0
fix pmd optimization warning,0,0
fix miss colon for mercurial changesets in annotation,1,1
fix the description,0,0
"fix various findbugs warning , mostly in history package",1,1
fix pmd and checkstyle warning,1,1
fix more warning,0,0
bug # 18602 : jaranalyzer can run out of memory,1,1
fix pmd and findbugs warning,1,1
fix another batch of sonar - identified issue,1,1
fix some findbugs correctness warning,1,1
