commitId,commitTime,diff,message,isImplicit
b9145beab6672e7c8cae96e227ffab00d433350e,2014-07-04 16:48:28+02:00,"mmm KVMHAMonitor . java <nl> ppp KVMHAMonitor . java <nl> + import java . util . HashSet ; <nl> + import java . util . Set ; <nl> - this . _storagePool . put(pool . _poolUUID, pool) ; <nl> + _storagePool . put(pool . _poolUUID, pool) ; <nl> - this . _hostIP = host ; <nl> + _hostIP = host ; <nl> - this . _storagePool . put(pool . _poolUUID, pool) ; <nl> + _storagePool . put(pool . _poolUUID, pool) ; <nl> - NfsStoragePool pool = this . _storagePool . get(uuid) ; <nl> + NfsStoragePool pool = _storagePool . <nl>",fix cid 1116267 do not modify the set while the iterator be still in use,1
4f969057b2434cf09562c05a503592f661e7d83e,2014-07-07 13:38:47+05:30,mmm ClusterManager . java <nl> ppp ClusterManager . java <nl> + public long getManagementRunId(long msId) ; <nl> mmm ClusterManagerImpl . java <nl> ppp ClusterManagerImpl . java <nl> + @Override <nl> + public long getManagementRunId(long msId) { <nl> + ManagementServerHostVO mshost = _mshostDao . findByMsid(msId) ; <nl> + if (mshost != null) { <nl> + return mshost . getRunid() ; <nl> + } <nl> + return -1 ; <nl> + } <nl> mmm VmwareManagerImpl . java <nl> ppp VmwareManagerImpl . java <nl> - if (msid == _clusterMgr . getManagementNodeId() && runid != _clusterMgr . getCurrentRunId()) { <nl> + if (runid <nl>,"after the restart of m in a clustered m pool , not all hung worker vms be recycle",1
4be369c94c4c9a2609f922fa414178191753c8bd,2014-07-07 17:40:06+05:30,mmm VirtualMachineMO . java <nl> ppp VirtualMachineMO . java <nl> - int deviceNumber = -1 ; <nl> + List<Integer> existingUnitNumbers = new ArrayList<Integer>() ; <nl> + int deviceNumber = 0 ; <nl> - if (device . getUnitNumber() != null && device . getUnitNumber() . intValue() > deviceNumber) { <nl> - deviceNumber = device . getUnitNumber() . intValue() ; <nl> - } <nl> + existingUnitNumbers . add(device . getUnitNumber()) ; <nl> - return ++deviceNumber ; <nl> + while (true) { <nl> + if (!existingUnitNumbers . contains(Integer . valueOf(deviceNumber))) { <nl> + break ; <nl> + } <nl> + } <nl> <nl>,volume attachment fail with ' a specify parameter be not correct ' error,1
70e68be4f32538b7965e916cce1f51334fadbbd5,2014-07-22 13:12:47+02:00,mmm ConfigHelper . java <nl> ppp ConfigHelper . java <nl> + import java . io . UnsupportedEncodingException ; <nl> + import java . util . HashMap ; <nl> + import java . util . LinkedList ; <nl> + import java . util . List ; <nl> + import java . util . Map ; <nl> + import org . apache . commons . codec . binary . Base64 ; <nl> + import com . google . gson . Gson ; <nl> - import com . google . gson . Gson ; <nl> - import org . apache . commons <nl>,fix string encode problem report by coverity,1
1d2124dcbf48d15d23ddbdea23a29f0ab21be6f3,2014-07-22 17:45:24+02:00,"mmm VmwareStorageProcessor . java <nl> ppp VmwareStorageProcessor . java <nl> + if (context == null) { <nl> + return new CopyCmdAnswer(""Failed to create a Vmware context, check the management server logs or the ssvm log for details"") ; <nl> + } <nl> - chapInitiatorUsername, chapInitiatorSecret, chapTargetUsername, chapTargetSecret) ; <nl> + chapInitiatorUsername, chapInitiatorSecret, chapTargetUsername, chapTargetSecret) ; <nl> - managedStoragePoolRootVolumeName, VmwareStorageLayoutType . VMWARE, false) ; <nl> + managedStoragePoolRootVolumeName, VmwareStorageLayoutType . VMWARE, false) ; <nl> - managedStoragePoolRootVolumeName, VmwareStorageLayoutType . CLOUDSTACK_LEGACY, false) ; <nl> + managedStoragePoolRootVolumeName, VmwareStorageLayoutType . CLOUDSTACK_LEGACY, false) ; <nl> - details . get(DiskTO . CHAP_INITIATOR_USERNAME), details . get(DiskTO . CHAP_INITIATOR_SECRET), <nl>","fix npe report on irc , provide the user an informative error message",1
dfa607fb443cbd0c3f2c264c2abfa9f1844a16ce,2014-08-05 10:00:00+05:30,mmm VirtualMachineMO . java <nl> ppp VirtualMachineMO . java <nl> - } else if (attachedNetworkSummary . endsWith("DistributedVirtualPortBackingInfo . summary")) { <nl> + } else if (attachedNetworkSummary . endsWith("DistributedVirtualPortBackingInfo . summary") || attachedNetworkSummary . startsWith("DVSwitch")) { <nl>,"sourcenat , staticnat and portfowrding be not work with vmware dvs in vcenter 5.5",0
328599ae0b2582d641e51c2922ecad2972e1f03a,2014-08-13 09:02:04+02:00,mmm BaremetalKickStartServiceImpl . java <nl> ppp BaremetalKickStartServiceImpl . java <nl> + import java . io . File ; <nl> + import java . net . URI ; <nl> + import java . net . URL ; <nl> + import java . util . ArrayList ; <nl> + import java . util . Arrays ; <nl> + import java . util . HashMap ; <nl> + import java . util . List ; <nl> + import java . util . Map ; <nl> + import javax . ejb . Local ; <nl> + import javax . inject . Inject ; <nl>,do not depend on static path especially if we be already check that,1
5811ebeee7040c3af66d57671d4546a9d0547786,2014-09-03 14:40:00-07:00,mmm XcpServerDiscoverer . java <nl> ppp XcpServerDiscoverer . java <nl> + host . setHypervisorVersion(prodVersion) ; <nl> mmm CitrixResourceBase . java <nl> ppp CitrixResourceBase . java <nl> + if (guestOsTypeName . toLowerCase() . contains("windows")) { <nl> + vmr . VCPUsMax = (long)vmSpec . getCpus() ; <nl> + } else { <nl> + vmr . VCPUsMax = 2L * vmSpec . getCpus() ; <nl> + if (vmr . VCPUsMax > 16) <nl> + { <nl> + vmr . VCPUsMax = 16L ; <nl> + } <nl> + } <nl> - vmr . memoryStaticMin = vmSpec . getMinRam() ; <nl> + vmr <nl>,"if vm scale be disable , do not set any scale option for vm",1
2b7b837b28f847eedf3cd7bd034dc23ba43d8a63,2014-09-10 13:26:24+02:00,"mmm VirtualMachineManagerImpl . java <nl> ppp VirtualMachineManagerImpl . java <nl> - VirtualMachineProfile profile = new VirtualMachineProfileImpl(vm) ; <nl> + VirtualMachineProfile profile = new VirtualMachineProfileImpl(vm, null, _offeringDao . findById(vm . getId(), vm . getServiceOfferingId()), null, null) ; <nl>",live migration be fail for vm deploy use dynaic compute offering with npe,1
de26a7228e1298d0a5d4d2c0bf00c924a99cd505,2014-09-16 16:43:32+02:00,"mmm Link . java <nl> ppp Link . java <nl> + import java . security . GeneralSecurityException ; <nl> - engResult . getStatus() != SSLEngineResult . Status . OK) { <nl> + engResult . getStatus() != SSLEngineResult . Status . OK) { <nl> - engResult . getStatus() != SSLEngineResult . Status . OK) { <nl> + engResult . getStatus() != SSLEngineResult . Status . OK) { <nl> - public static SSLContext initSSLContext(boolean isClient) throws Exception { <nl> + public static SSLContext initSSLContext(boolean isClient) throws GeneralSecurityException, IOException { <nl> mmm NioClient . java <nl> ppp NioClient . java <nl> + <nl>",fix resource leak on exception path,1
